	Col0_AWF_NT_R4	Col0_AWF_NT_R5	Col0_AWF_NT_R6	Col0_CL_R1	Col0_CL_R2	Col0_CL_R3	Col0_CL_ribo_R1	Col0_CL_ribo_R2	Col0_CL_ribo_R3	Col0_LSW_R1	Col0_LSW_R2	Col0_LSW_R3
AT5G35353	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35354	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35356	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35360	0	0	0	25.5481702981669	0	39.9056000664445	22.9372357883785	42.5000250257397	54.2578360699752	9.33376296941523	0	0
AT5G35370	0	0	0	1.76194277918392	0	7.10184407962149	2.18731372208764	13.1955722862176	3.90588491270557	0	0	0
AT5G35375	0	0	0	0	0	0	0	0	0.339642166322224	0	0	0
AT5G35380	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35390	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35400	0	0	0	0	0	0	0.472932696667598	0	0.509463249483335	0	0	0
AT5G35405	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35407	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35410	0	0	0	3.30364271096985	0	0	0	0	1.61330029003056	0	0	0
AT5G35413	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35416	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35420	0	0	0	0.660728542193971	0	0	0.177349761250349	0.514113205956529	0.169821083161112	0	0	0
AT5G35425	0	0	0	0.44048569479598	0	0	0.177349761250349	0	0	0	0	0
AT5G35430	0	0	0	8.14898535372564	10.5997811213217	6.76366102821094	6.56194116626293	8.91129556991316	8.91560686595837	9.33376296941523	0	0
